id,userId,headline,location,workPreference,experienceLevel,bio,careerGoals,technicalSkills,softSkills,certifications,interests,preferredRoles,employabilityScore,careerReadinessScore
prof_11,user_11,Aspiring Software Engineer,Remote,On-site,Senior,Aspiring Software Engineer with a strong interest in Web Development.,Become a leading professional in Backend Developer.,Java|Spring Boot|Kotlin|Swift|Objective-C|C#|.NET|SQL,Communication|Teamwork|Problem Solving,Oracle Java Certified|Microsoft AZ-900,Web Development|AI/ML|Cloud Computing,Backend Developer|Data Scientist,70,75
prof_12,user_12,Frontend Enthusiast,On-site,Hybrid,Lead,Frontend Enthusiast with a strong interest in AI/ML.,Become a leading professional in Data Scientist.,Spring Boot|Kotlin|Swift|Objective-C|C#|.NET|SQL|MySQL,Teamwork|Problem Solving|Adaptability,Microsoft AZ-900|Certified Scrum Master,AI/ML|Cloud Computing|Cyber Security,Data Scientist|DevOps Engineer,72,77
prof_13,user_13,Backend Specialist,Hybrid,Remote,Entry Level,Backend Specialist with a strong interest in Cloud Computing.,Become a leading professional in DevOps Engineer.,Kotlin|Swift|Objective-C|C#|.NET|SQL|MySQL|PostgreSQL,Problem Solving|Adaptability|Critical Thinking,Certified Scrum Master|Cisco CCNA,Cloud Computing|Cyber Security|Mobile Apps,DevOps Engineer|Cloud Architect,74,79
prof_14,user_14,AI & ML Learner,Bengaluru,On-site,Mid Level,AI & ML Learner with a strong interest in Cyber Security.,Become a leading professional in Cloud Architect.,Swift|Objective-C|C#|.NET|SQL|MySQL|PostgreSQL|MongoDB,Adaptability|Critical Thinking|Leadership,Cisco CCNA|CompTIA Security+,Cyber Security|Mobile Apps|UI/UX,Cloud Architect|Product Manager,76,81
prof_15,user_15,DevOps Practitioner,New York,Hybrid,Senior,DevOps Practitioner with a strong interest in Mobile Apps.,Become a leading professional in Product Manager.,Objective-C|C#|.NET|SQL|MySQL|PostgreSQL|MongoDB|Redis,Critical Thinking|Leadership|Time Management,CompTIA Security+|IBM Data Science Professional Certificate,Mobile Apps|UI/UX|Data Analytics,Product Manager|QA Engineer,78,83
prof_16,user_16,Cloud Computing Student,San Francisco,Remote,Lead,Cloud Computing Student with a strong interest in UI/UX.,Become a leading professional in QA Engineer.,C#|.NET|SQL|MySQL|PostgreSQL|MongoDB|Redis|AWS/Cloud Services,Leadership|Time Management|Attention to Detail,IBM Data Science Professional Certificate,UI/UX|Data Analytics|Automation,QA Engineer|Full-Stack Developer,80,85
prof_17,user_17,Cybersecurity Aspirant,London,On-site,Entry Level,Cybersecurity Aspirant with a strong interest in Data Analytics.,Become a leading professional in Full-Stack Developer.,.NET|SQL|MySQL|PostgreSQL|MongoDB|Redis|AWS/Cloud Services|Azure,Time Management|Attention to Detail|Creativity,AWS Certified Cloud Practitioner|Google Cloud Certified,Data Analytics|Automation|Open Source,Full-Stack Developer|Frontend Developer,82,87
prof_18,user_18,Data Science Explorer,Berlin,Hybrid,Mid Level,Data Science Explorer with a strong interest in Automation.,Become a leading professional in Frontend Developer.,SQL|MySQL|PostgreSQL|MongoDB|Redis|AWS/Cloud Services|Azure|Google Cloud,Attention to Detail|Creativity|Collaboration,Google Cloud Certified|Oracle Java Certified,Automation|Open Source|Blockchain,Frontend Developer|Backend Developer,84,89
prof_19,user_19,Product-focused Developer,Toronto,Remote,Senior,Product-focused Developer with a strong interest in Open Source.,Become a leading professional in Backend Developer.,MySQL|PostgreSQL|MongoDB|Redis|AWS/Cloud Services|Azure|Google Cloud|Docker,Creativity|Collaboration,Oracle Java Certified|Microsoft AZ-900,Open Source|Blockchain|Web Development,Backend Developer|Data Scientist,86,91
prof_20,user_20,Software Architect in Training,Singapore,On-site,Lead,Software Architect in Training with a strong interest in Blockchain.,Become a leading professional in Data Scientist.,PostgreSQL|MongoDB|Redis|AWS/Cloud Services|Azure|Google Cloud|Docker|Kubernetes,Collaboration,Microsoft AZ-900|Certified Scrum Master,Blockchain|Web Development|AI/ML,Data Scientist|DevOps Engineer,88,93
prof_21,user_21,Machine Learning Enthusiast,Bengaluru,Remote,Entry Level,Passionate about machine learning and AI applications.,Become an AI Engineer.,Python|TensorFlow|PyTorch|Scikit-Learn|SQL,Problem Solving|Communication|Teamwork,IBM AI Engineering Professional Certificate,AI/ML|Data Science|Research,AI Engineer|Data Scientist,89,92
prof_22,user_22,Cloud Solutions Learner,Hyderabad,Hybrid,Mid Level,Interested in designing scalable cloud systems.,Become a Cloud Solutions Architect.,AWS|Azure|Docker|Kubernetes|Linux,Leadership|Adaptability|Collaboration,AWS Solutions Architect Associate,Cloud Computing|DevOps|Automation,Cloud Architect|DevOps Engineer,85,88
prof_23,user_23,Cybersecurity Analyst,Mumbai,On-site,Mid Level,Focused on securing enterprise infrastructure.,Become a Security Consultant.,Python|Linux|Networking|SIEM|Wireshark,Critical Thinking|Attention to Detail|Problem Solving,CompTIA Security+|CEH,Cyber Security|Cloud Security|Networking,Cyber Security Analyst|Security Engineer,87,90
prof_24,user_24,Mobile App Developer,Chennai,Remote,Entry Level,Building Android and cross-platform applications.,Become a Senior Mobile Engineer.,Java|Kotlin|Flutter|Firebase|SQLite,Creativity|Communication|Time Management,Google Associate Android Developer,Mobile Apps|UI/UX|Open Source,Android Developer|Flutter Developer,83,86
prof_25,user_25,UI UX Designer,Pune,Hybrid,Mid Level,Passionate about user-centered design.,Become a Product Designer.,Figma|Adobe XD|HTML|CSS|JavaScript,Creativity|Collaboration|Empathy,Google UX Design Certificate,UI/UX|Product Design|Web Development,UI Designer|Product Designer,81,84
prof_26,user_26,Data Analyst,Kolkata,On-site,Entry Level,Enjoys transforming data into insights.,Become a Business Intelligence Analyst.,Python|SQL|Excel|Power BI|Tableau,Analytical Thinking|Communication|Teamwork,Microsoft Data Analyst Associate,Data Analytics|Business Intelligence|AI/ML,Data Analyst|BI Analyst,84,87
prof_27,user_27,DevOps Engineer,Delhi,Hybrid,Senior,Experienced in CI/CD and cloud automation.,Become a DevOps Lead.,AWS|Docker|Kubernetes|Terraform|Jenkins,Leadership|Problem Solving|Collaboration,AWS DevOps Engineer Professional,Cloud Computing|Automation|Open Source,DevOps Engineer|Cloud Architect,91,94
prof_28,user_28,Blockchain Developer,Remote,Remote,Mid Level,Interested in decentralized applications.,Become a Blockchain Architect.,Solidity|Ethereum|JavaScript|Node.js|MongoDB,Innovation|Critical Thinking|Teamwork,Certified Blockchain Developer,Blockchain|Web3|FinTech,Blockchain Developer|Smart Contract Engineer,82,85
prof_29,user_29,AI Research Student,Mysuru,Remote,Entry Level,Exploring deep learning and NLP.,Become an AI Research Scientist.,Python|PyTorch|Transformers|NLP|Git,Research Skills|Problem Solving|Communication,DeepLearning.AI NLP Specialization,AI/ML|Research|Data Science,AI Engineer|Research Scientist,90,93
prof_30,user_30,Software Testing Specialist,Bengaluru,Hybrid,Mid Level,Focused on quality assurance and automation testing.,Become a QA Lead.,Java|Selenium|TestNG|JUnit|SQL,Attention to Detail|Critical Thinking|Teamwork,ISTQB Certified Tester,Software Testing|Automation|Web Development,QA Engineer|Automation Tester,80,83
prof_31,user_31,Full Stack Developer,Mysuru,Hybrid,Mid Level,Passionate about building scalable web applications.,Become a Senior Full Stack Engineer.,JavaScript|TypeScript|React|Node.js|MongoDB|Express.js,Problem Solving|Communication|Teamwork,AWS Certified Cloud Practitioner,Web Development|Cloud Computing|Open Source,Full-Stack Developer|Software Engineer,86,89
prof_32,user_32,Software Engineering Student,Remote,Remote,Entry Level,Eager to learn modern software development practices.,Become a Software Developer.,Python|Java|Git|SQL|HTML|CSS,Adaptability|Time Management|Communication,Oracle Java Certified,Web Development|AI/ML|Programming,Software Developer|Backend Developer,75,80
prof_33,user_33,Cloud Infrastructure Engineer,Hyderabad,On-site,Senior,Experienced in cloud deployment and infrastructure management.,Become a Cloud Technology Leader.,AWS|Azure|Docker|Kubernetes|Terraform|Linux,Leadership|Critical Thinking|Collaboration,AWS Solutions Architect Associate|Microsoft AZ-900,Cloud Computing|DevOps|Automation,Cloud Architect|DevOps Engineer,92,95
prof_34,user_34,Data Engineering Enthusiast,Bengaluru,Hybrid,Mid Level,Interested in big data pipelines and analytics.,Become a Data Engineer.,Python|SQL|Apache Spark|Hadoop|PostgreSQL,Analytical Thinking|Problem Solving|Teamwork,Google Data Analytics Certificate,Data Engineering|AI/ML|Cloud Computing,Data Engineer|Data Scientist,88,91
prof_35,user_35,Cybersecurity Researcher,Delhi,Remote,Senior,Focused on ethical hacking and threat analysis.,Become a Security Architect.,Python|Linux|Networking|Metasploit|Wireshark,Attention to Detail|Critical Thinking|Leadership,CEH|CompTIA Security+,Cyber Security|Networking|Cloud Security,Security Engineer|Cyber Security Analyst,90,94
prof_36,user_36,Product Management Aspirant,Mumbai,Hybrid,Mid Level,Interested in technology products and user experience.,Become a Product Manager.,SQL|Excel|Figma|Analytics|Agile,Leadership|Communication|Decision Making,Certified Scrum Master,Product Design|Business Analysis|Technology,Product Manager|Business Analyst,82,86
prof_37,user_37,Automation Testing Engineer,Chennai,On-site,Mid Level,Specialized in software testing and quality assurance.,Become a QA Automation Lead.,Java|Selenium|JUnit|TestNG|SQL,Attention to Detail|Teamwork|Problem Solving,ISTQB Certified Tester,Software Testing|Automation|Web Development,QA Engineer|Automation Tester,84,88
prof_38,user_38,Artificial Intelligence Developer,Pune,Remote,Lead,Building intelligent applications using machine learning.,Become an AI Solution Architect.,Python|TensorFlow|PyTorch|Scikit-Learn|Docker,Innovation|Leadership|Analytical Thinking,IBM AI Engineering Professional Certificate,AI/ML|Research|Automation,AI Engineer|Machine Learning Engineer,93,96
prof_39,user_39,Business Intelligence Analyst,Kolkata,Hybrid,Mid Level,Transforms business data into strategic insights.,Become a BI Consultant.,Power BI|Tableau|SQL|Python|Excel,Communication|Analytical Thinking|Collaboration,Microsoft Data Analyst Associate,Data Analytics|Business Intelligence|Visualization,BI Analyst|Data Analyst,83,87
prof_40,user_40,Blockchain Technology Enthusiast,Remote,Remote,Entry Level,Learning decentralized systems and smart contracts.,Become a Blockchain Developer.,Solidity|Ethereum|JavaScript|Node.js|MongoDB,Creativity|Problem Solving|Adaptability,Certified Blockchain Developer,Blockchain|Web3|FinTech,Blockchain Developer|Smart Contract Engineer,79,84
prof_41,user_41,Frontend Developer,Bengaluru,Hybrid,Mid Level,Passionate about building responsive web applications.,Become a Senior Frontend Engineer.,React.js|TypeScript|Next.js|Tailwind CSS|JavaScript,Creativity|Communication|Problem Solving,Meta Front-End Developer Professional Certificate,Web Development|UI/UX|Open Source,Frontend Developer|UI Engineer,87,90
prof_42,user_42,Backend Engineer,Hyderabad,Remote,Senior,Experienced in designing scalable backend services.,Become a Software Architect.,Java|Spring Boot|PostgreSQL|Redis|Docker,Leadership|Critical Thinking|Teamwork,Oracle Java Certified|AWS Certified Developer,Backend Development|Cloud Computing|Microservices,Backend Developer|Software Architect,91,94
prof_43,user_43,Data Scientist,Delhi,Hybrid,Mid Level,Interested in predictive analytics and AI.,Become a Lead Data Scientist.,Python|Pandas|NumPy|scikit-learn|SQL,Analytical Thinking|Communication|Problem Solving,IBM Data Science Professional Certificate,Data Science|AI/ML|Analytics,Data Scientist|ML Engineer,89,92
prof_44,user_44,DevOps Engineer,Pune,On-site,Senior,Focused on cloud infrastructure and CI/CD.,Become a Cloud Engineering Manager.,Docker|Kubernetes|Terraform|AWS|Jenkins,Leadership|Teamwork|Adaptability,AWS DevOps Engineer Professional,Cloud Computing|Automation|DevOps,DevOps Engineer|Cloud Architect,92,95
prof_45,user_45,Android Developer,Chennai,Remote,Entry Level,Building modern Android applications.,Become an Android Team Lead.,Kotlin|Android Studio|Firebase|SQLite|Git,Communication|Creativity|Time Management,Google Associate Android Developer,Mobile Development|UI/UX|Open Source,Android Developer|Mobile Engineer,82,86
prof_46,user_46,Cyber Security Engineer,Mumbai,Hybrid,Senior,Passionate about ethical hacking and cloud security.,Become a Chief Information Security Officer.,Linux|Python|Networking|SIEM|AWS,Critical Thinking|Leadership|Attention to Detail,CEH|CompTIA Security+,Cyber Security|Networking|Cloud Security,Security Engineer|Cybersecurity Analyst,93,96
prof_47,user_47,Machine Learning Engineer,Mysuru,Remote,Mid Level,Developing intelligent AI solutions.,Become an AI Architect.,Python|TensorFlow|PyTorch|Docker|MLflow,Research Skills|Innovation|Problem Solving,TensorFlow Developer Certificate,AI/ML|Research|Automation,Machine Learning Engineer|AI Engineer,90,93
prof_48,user_48,Cloud Engineer,Bengaluru,Hybrid,Mid Level,Interested in scalable cloud-native systems.,Become a Cloud Solutions Architect.,AWS|Azure|Docker|Linux|Terraform,Leadership|Communication|Problem Solving,AWS Solutions Architect Associate,Cloud Computing|DevOps|Automation,Cloud Engineer|Cloud Architect,88,91
prof_49,user_49,Software Engineer,Remote,Remote,Entry Level,Learning full-stack software development.,Become a Full Stack Engineer.,JavaScript|React.js|Node.js|MongoDB|Express.js,Adaptability|Communication|Teamwork,Meta Front-End Developer Certificate,Web Development|Cloud Computing|Programming,Software Engineer|Full-Stack Developer,78,82
prof_50,user_50,Data Engineer,Hyderabad,On-site,Senior,Experienced in big data processing and ETL.,Become a Principal Data Engineer.,Python|Spark|Kafka|SQL|Hadoop,Leadership|Analytical Thinking|Problem Solving,Google Professional Data Engineer,Big Data|Cloud Computing|Analytics,Data Engineer|Data Architect,94,97

prof_51,user_51,AI Engineer,Bengaluru,Hybrid,Lead,Designing enterprise AI applications.,Become an AI Solutions Director.,Python|TensorFlow|PyTorch|OpenCV|Docker,Innovation|Leadership|Communication,IBM AI Engineering Professional Certificate,AI/ML|Computer Vision|Automation,AI Engineer|Research Scientist,95,98
prof_52,user_52,Business Analyst,Pune,Hybrid,Mid Level,Bridging business requirements with technology.,Become a Senior Business Analyst.,SQL|Excel|Power BI|Tableau|JIRA,Communication|Leadership|Decision Making,ECBA Certification,Business Analysis|Analytics|Technology,Business Analyst|Product Manager,84,88
prof_53,user_53,Software Tester,Chennai,On-site,Entry Level,Interested in software quality assurance.,Become an Automation Test Engineer.,Java|Selenium|JUnit|SQL|Git,Attention to Detail|Problem Solving|Teamwork,ISTQB Foundation Level,Software Testing|Automation|QA,QA Engineer|Automation Tester,79,83
prof_54,user_54,Product Designer,Remote,Remote,Mid Level,Focused on creating intuitive digital experiences.,Become a UX Lead.,Figma|Adobe XD|HTML|CSS|JavaScript,Creativity|Empathy|Communication,Google UX Design Certificate,UI/UX|Product Design|Accessibility,UX Designer|Product Designer,85,89
prof_55,user_55,Network Engineer,Delhi,On-site,Senior,Managing enterprise networking infrastructure.,Become a Network Architect.,Cisco IOS|Linux|Firewall|VPN|Networking,Leadership|Critical Thinking|Problem Solving,Cisco CCNA|CCNP,Networking|Cyber Security|Cloud,Network Engineer|Infrastructure Engineer,90,93
prof_56,user_56,Full Stack Developer,Hyderabad,Hybrid,Mid Level,Building scalable enterprise applications.,Become a Technical Lead.,React.js|Node.js|Express.js|MongoDB|Docker,Communication|Adaptability|Problem Solving,AWS Certified Developer,Web Development|Cloud Computing|Microservices,Full-Stack Developer|Software Engineer,88,91
prof_57,user_57,Cloud Security Engineer,Bengaluru,Remote,Senior,Securing cloud infrastructure and workloads.,Become a Cloud Security Architect.,AWS|Azure|IAM|Terraform|Linux,Leadership|Attention to Detail|Critical Thinking,AWS Security Specialty,Cyber Security|Cloud Computing|DevSecOps,Cloud Security Engineer|Security Architect,94,97
prof_58,user_58,Embedded Systems Engineer,Mysuru,On-site,Mid Level,Developing firmware for embedded devices.,Become an Embedded Systems Architect.,C|C++|Embedded C|RTOS|ARM,Problem Solving|Analytical Thinking|Teamwork,Embedded Systems Professional,Embedded Systems|IoT|Automation,Embedded Engineer|Firmware Engineer,83,87
prof_59,user_59,IoT Developer,Pune,Hybrid,Entry Level,Interested in connected smart devices.,Become an IoT Solutions Engineer.,Python|MQTT|Arduino|Raspberry Pi|Node.js,Creativity|Communication|Adaptability,Cisco IoT Certificate,IoT|Automation|Cloud Computing,IoT Developer|Embedded Engineer,81,85
prof_60,user_60,Software Architect,Remote,Remote,Lead,Experienced in designing enterprise software systems.,Become a Chief Technology Officer.,Java|Spring Boot|Microservices|Docker|Kubernetes,Leadership|Strategic Thinking|Decision Making,AWS Solutions Architect Professional,Software Architecture|Cloud Computing|Enterprise Systems,Software Architect|Technical Architect,96,99
